Nashua	Georgia	8/1/1990	31093	1	Married	Quality Assurance	31	true	true	leo@Duisat.edu	21, 19, 15, 35, 39	false	false	0-8	4	wood	sheep	aries		DarkMagenta	SONY KDL BRAVIA 40X3500	brown	amber	brown	bird	true	1-3	false	true	50-99	62	Dodge	dance-electronica	mac-os x	sony-ericsson	turkcell	Polar	Ba&#287;c&#305;lar	avrat	true	true	false	true	false	male	once per 15 days	dont know	true	20	yes	yes	tennis, weight training, golf, walking, squash	2	500-999	5000-9999	20-49	false	true	true	false	true	false	true	true	false	false	5000-9999	none	true	true	5	0-5
Farmer City	Estonia	16/10/1994	12331	1	Divorced	Finances	19	true	false	metus@Morbinequetellus.ca	37, 13, 49, 43, 31	true	false	54-62	3	earth	sheep	leo	Black, Cyan	Thistle	TOSHIBA REGZA 47WLT66	brown	brown	medium	dog	false	9-14	false	true	16-49	90	Buick	pop, world, ethnic-folk, dance-electronica	linux	sony-ericsson	avea	Tommy Hilfiger	Üsküdar	avrat	true	true	true	true	false	female	twice a day	dont know	false	10	no	no	tennis, weight training, cycling, fitness	1	1-99	2500-4999	20-49	true	false	true	true	true	false	true	false	true	true	1000-2499	local	true	true	3	45+
Flagstaff	Slovenia	16/4/1955	50931	7	Single	Legal Department	43	true	true	arcu@vitaedolor.ca	1, 23, 43, 21, 45	true	false	0-8	7	water	dog	capricorn	DarkOrchid	MediumPurple	TOSHIBA REGZA 42HL167	black	green	light	bird	false	0	true	false	9-15	95	Buick	dance-electronica, ethnic-folk, classical, reggae, hiphop	linux	lg	avea	Disney	Pendik	avrat	false	false	true	false	false	female	once per 15 days	maybe	true	4	no	yes	fishing, swimming, golf, squash, weight training	7	10000+	5000-9999	0	false	true	true	true	true	true	false	true	false	false	500-999	none	false	true	6	45+
Gilette	Colombia	30/10/1942	15759	2	Common-Law	Accounting	67	true	true	lacinia.at@ipsumdolor.org	31, 45, 21, 29, 35	true	true	9-17	10	water	dragon	leo	MintCream, Peru, LightYellow, Aquamarine	Salmon	SONY BRAVIA KDL-46X2000	auburn	blue	fair	dog	true	4-8	true	true	16-49	36	Toyota	ethnic-folk, dance-electronica, country	linux	blackberry	turkcell	Converse	Sancaktepe	avrat	true	false	false	false	true	female	once per 15 days	maybe	true	15	no	yes	golf	3	0	1000-2499	1-4	true	false	false	true	true	true	true	true	true	true	1000-2499	local	false	true	2	45+
Boston	Saudi Arabia	11/1/1947	85184	6	Married	Sales and Marketing	41	true	true	Nullam@Maecenasliberoest.edu	17, 33, 47, 45, 43	false	false	72-80	4	metal	sheep	sagittarius	DarkSlateGrey, SeaGreen, RoyalBlue, GoldenRod, CornflowerBlue	SeaShell	SHARP AQUOS LC-46XL1E	chestnut	gray	medium	dog	false	4-8	true	true	9-15	67	Porsche	country, r&b-soul, jazz, alternative	mac-os x	blackberry	vodafone	Hugo Boss	Pendik	silah	true	false	true	false	false	male	once a month	yes sure	false	7	no	no	weight training, tennis, swimming	1	100-499	5000-9999	1-4	false	false	true	true	true	true	false	true	false	true	5000-9999	local	true	false	5	45+
Zanesville	Viet Nam	17/4/1982	64362	7	Married	Accounting	73	false	true	Fusce.aliquet@eu.com	1, 23, 19, 37, 35	true	false	54-62	7	wood	dragon	gemini	Coral	Linen	LG 42LY95	blond	blue	olive	cat	true	21-31	false	false	100-499	106	Buick	reggae, rock	windows	apple	vodafone	Diesel	Kartal	silah	false	false	false	false	true	female	once a week	yes sure	false	7	yes	yes	fishing, squash, swimming, golf	3	1-99	0	0	true	false	false	false	false	false	false	false	true	false	0	none	true	false	2	0-5
Decatur	Cambodia	5/12/1975	26770	3	Married	Customer Service	2	true	true	dui.Suspendisse@nunc.edu	9, 31, 13, 37, 43	false	true	9-17	5	fire	rooster	leo		PaleGoldenRod	Sharp AQUOS LC-46HD1E	chestnut	gray	brown	bird	true	1-3	true	false	1-3	80	General Motors	classical, jazz, blues, hiphop, alternative	linux	lg	vodafone	Swiss Army	Büyükçekmece	silah	true	false	false	false	false	male	daily once	maybe	true	11	no	no	weight training, tennis, cycling, swimming	4	0	2500-4999	20-49	false	false	false	false	true	true	false	false	true	false	500-999	none	true	true	3	15-45
Medford	Cuba	30/7/1989	76747	9	Common-Law	Finances	17	true	true	nibh@magnaLoremipsum.ca	23, 21, 31, 11, 37	false	true	24-35	8	water	horse	virgo	Thistle, Linen, DarkOliveGreen, DimGrey, DeepPink	YellowGreen	SAMSUNG TUL&#304;P LE-40F71B	black	red-violet	fair	bird	true	1-3	true	false	0	41	Subaru 	funk, ethnic-folk	windows	apple	turkcell	Oasis	&#350;i&#351;li	avrat	true	false	false	true	false	male	once per 15 days	dont know	false	3	no	yes	tennis, cycling	7	500-999	5000-9999	20-49	false	false	false	false	true	false	true	false	false	true	2500-4999	none	true	true	1	15-45
West Covina	Singapore	29/12/1949	08438	4	Single	Asset Management	89	true	false	rutrum@parturientmontes.edu	25, 43, 33, 45, 21	false	true	54-62	6	fire	dog	cancer	DarkBlue, MediumSpringGreen, LightYellow, LightSalmon	Khaki	PHILIPS CINEOS 42PFL7432D	auburn	gray	olive	cat	true	21-31	false	true	1-3	93	Audi	classical	mac-os x	nokia	turkcell	Casio	Küçükçekmece	silah	false	false	false	true	true	female	daily once	yes sure	false	19	yes	yes	squash, running, football	2	10000+	1000-2499	5-9	true	false	true	false	true	true	false	false	true	false	0	none	false	false	5	0-5
Newcastle	Kazakhstan	1/5/1945	26088	9	Single	Customer Service	59	true	true	et.magnis@Aeneaneget.edu	17, 7, 13, 37, 3	false	true	54-62	4	earth	snake	leo	MediumSlateBlue, IndianRed, LightSkyBlue, HotPink	DarkGoldenRod	PANASONIC VIERA TH-58PZ750U	red	brown	black	cat	false	9-14	false	false	4-8	100	Dodge		mac-os x	samsung	avea	Timex	Esenyurt	silah	false	false	true	false	true	female	3-4/week	yes sure	false	1	yes	no	football, swimming, walking	5	1000-4999	0	1-4	false	true	false	false	false	true	false	true	true	false	1000-2499	global	true	false	10	0-5
Minot	Malaysia	21/5/1984	70132	3	Divorced	Legal Department	73	true	false	Maecenas@iaculis.edu	23, 45, 31, 21, 41	true	true	63-71	2	water	snake	capricorn	LemonChiffon, LavenderBlush, Gainsboro, GoldenRod, Indigo	MediumAquaMarine	TOSHIBA REGZA 37X3030D	red	red-violet	brown	cat	true	4-8	false	true	1-3	70	BMW	jazz	mac-os x	apple	avea	Swiss Army	Üsküdar	silah	true	true	false	false	true	male	twice a day	maybe	true	2	no	yes	running, golf, swimming, fitness, fishing	8	10000+	1000-2499	1-4	false	false	true	true	false	true	true	true	false	true	5000-9999	local	true	true	9	45+
